Data Month,cd118,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,CD_Democrat
2022-01-01,0101,204,0,845,1005,2052,3832,18,8405,10575,22827,0.0
2022-02-01,0101,-49,1,545,839,1336,3783,19,8948,11412,24164,0.0
2022-03-01,0101,-1573,0,546,1584,557,2211,19,9493,12997,24722,0.0
2022-04-01,0101,-177,-3,199,1386,1405,2034,17,9693,14384,26128,0.0
2022-05-01,0101,-121,0,80,853,812,1913,16,9774,15238,26940,0.0
2022-06-01,0101,-126,-1,-86,1476,1264,1787,15,9688,16714,28204,0.0
2022-07-01,0101,-101,-4,137,1279,1312,1686,11,9825,17991,29516,0.0
2022-08-01,0101,-156,0,-408,-35,-599,1530,11,9416,17957,28916,0.0
2022-09-01,0101,-59,-1,178,610,728,1471,10,9596,18569,29645,0.0
2022-10-01,0101,-59,0,506,854,1298,1412,10,10101,19422,30944,0.0
2022-11-01,0101,-68,0,303,862,1097,1344,11,10404,20286,32040,0.0
2022-12-01,0101,-662,0,486,1695,1520,682,11,10890,21982,33561,0.0
2023-01-01,0101,-27,-1,242,1472,1684,655,10,11129,23450,35247,0.0
2023-02-01,0101,-10,-1,-115,1116,990,645,9,11015,24568,36237,0.0
2023-03-01,0101,-21,0,-280,1291,991,624,9,10734,25857,37229,0.0
2023-04-01,0101,-22,0,-339,1354,993,602,9,10397,27211,38220,0.0
2023-05-01,0101,-10,0,-70,1345,1265,592,9,10326,28558,39485,0.0
2023-06-01,0101,-22,0,108,1215,1298,570,9,10432,29777,40787,0.0
2023-07-01,0101,13,-2,-2,1623,1632,583,6,10431,31395,42416,0.0
2023-08-01,0101,-22,0,-54,1530,1455,561,6,10377,32927,43871,0.0
2022-01-01,0102,767,-1,584,994,2342,13096,54,9567,12999,35717,0.0
2022-02-01,0102,727,-4,543,957,2220,13822,50,10113,13960,37939,0.0
2022-03-01,0102,676,-1,424,1324,2422,14496,49,10537,15282,40362,0.0
2022-04-01,0102,663,-4,310,826,1793,15158,45,10843,16108,42154,0.0
2022-05-01,0102,883,1,-51,82,915,16041,45,10797,16190,43069,0.0
2022-06-01,0102,673,0,-194,621,1103,16716,45,10601,16809,44170,0.0
2022-07-01,0102,889,-11,211,892,1977,17604,34,10810,17703,46152,0.0
2022-08-01,0102,685,-1,-478,570,776,18287,33,10334,18272,46929,0.0
2022-09-01,0102,726,0,896,15,1638,19014,33,11232,18287,48565,0.0
2022-10-01,0102,357,-1,1254,132,1743,19371,32,12485,18423,50311,0.0
2022-11-01,0102,66,0,238,432,738,19438,32,12724,18849,51046,0.0
2022-12-01,0102,226,0,173,1635,2037,19661,32,12897,20483,53080,0.0
2023-01-01,0102,-557,-1,562,1240,1246,19104,32,13463,21729,54327,0.0
2023-02-01,0102,665,0,177,1227,2069,19772,32,13641,22955,56400,0.0
2023-03-01,0102,550,0,-392,1857,2014,20322,32,13248,24814,58412,0.0
2023-04-01,0102,519,1,-556,1734,1699,20841,33,12692,26547,60113,0.0
2023-05-01,0102,616,-1,-466,1398,1543,21456,32,12223,27943,61653,0.0
2023-06-01,0102,802,0,-360,1456,1900,22258,32,11865,29403,63564,0.0
2023-07-01,0102,466,0,-344,1202,1328,22725,32,11517,30601,64878,0.0
2023-08-01,0102,547,0,-112,1590,2022,23273,32,11408,32190,66903,0.0
2022-01-01,0103,503,-3,581,788,1875,10122,85,7452,9062,26720,0.0
2022-02-01,0103,695,0,523,672,1892,10814,85,7974,9736,28610,0.0
2022-03-01,0103,650,-1,566,868,2085,11467,84,8541,10607,30696,0.0
2022-04-01,0103,450,-2,242,377,1067,11918,82,8781,10984,31765,0.0
2022-05-01,0103,723,0,155,161,1037,12640,82,8936,11144,32801,0.0
2022-06-01,0103,574,0,312,1086,1974,13215,82,9250,12233,34775,0.0
2022-07-01,0103,704,-8,348,1099,2147,13920,74,9598,13333,36921,0.0
2022-08-01,0103,639,-2,-1,616,1254,14560,72,9596,13950,38174,0.0
2022-09-01,0103,619,-2,286,247,1151,15182,70,9883,14193,39330,0.0
2022-10-01,0103,431,-1,410,609,1448,15610,69,10293,14801,40776,0.0
2022-11-01,0103,177,0,326,880,1381,15786,69,10618,15683,42159,0.0
2022-12-01,0103,336,-1,87,1707,2130,16122,68,10707,17392,44287,0.0
2023-01-01,0103,-259,-3,456,1479,1672,15862,65,11160,18868,45960,0.0
2023-02-01,0103,755,-1,-47,1155,1860,16614,64,11114,20026,47820,0.0
2023-03-01,0103,602,0,-358,1185,1424,17219,64,10754,21211,49250,0.0
2023-04-01,0103,480,0,-221,1275,1534,17700,64,10530,22490,50783,0.0
2023-05-01,0103,554,0,-131,1179,1603,18253,64,10399,23668,52388,0.0
2023-06-01,0103,659,-2,-182,1153,1620,18911,62,10212,24828,54012,0.0
2023-07-01,0103,545,-1,49,832,1427,19457,61,10263,25656,55435,0.0
2023-08-01,0103,622,-1,-6,1340,1952,20077,60,10258,26998,57392,0.0
2022-01-01,0104,821,1,444,672,1933,10228,65,5483,8161,23940,0.0
2022-02-01,0104,789,-1,301,737,1829,11019,64,5786,8902,25766,0.0
2022-03-01,0104,748,0,592,1307,2641,11765,64,6376,10205,28408,0.0
2022-04-01,0104,494,-1,193,1026,1703,12260,63,6565,11227,30121,0.0
2022-05-01,0104,698,-1,-18,670,1352,12958,62,6551,11901,31473,0.0
2022-06-01,0104,746,-1,-48,1014,1704,13705,61,6499,12911,33176,0.0
2022-07-01,0104,853,-14,138,917,1892,14558,47,6639,13827,35069,0.0
2022-08-01,0104,696,0,-59,700,1335,15256,47,6576,14531,36411,0.0
2022-09-01,0104,757,0,685,394,1835,16009,47,7261,14924,38241,0.0
2022-10-01,0104,431,0,474,321,1226,16442,47,7736,15241,39467,0.0
2022-11-01,0104,455,0,80,309,845,16896,47,7822,15552,40315,0.0
2022-12-01,0104,154,-3,135,729,1016,17052,45,7953,16284,41329,0.0
2023-01-01,0104,-23,-3,485,805,1261,17028,42,8439,17089,42595,0.0
2023-02-01,0104,677,-1,8,967,1646,17704,41,8447,18051,44239,0.0
2023-03-01,0104,645,-1,-167,1202,1684,18350,39,8278,19255,45919,0.0
2023-04-01,0104,544,-1,-245,1081,1380,18899,38,8033,20331,47302,0.0
2023-05-01,0104,704,0,-200,1044,1550,19601,38,7835,21383,48849,0.0
2023-06-01,0104,571,0,-7,1193,1759,20176,38,7831,22574,50613,0.0
2023-07-01,0104,492,-3,-129,953,1311,20664,35,7702,23524,51924,0.0
2023-08-01,0104,695,-1,-76,1079,1700,21363,34,7625,24603,53621,0.0
2022-01-01,0105,449,-1,338,391,1176,6257,87,4931,5392,16666,0.0
2022-02-01,0105,344,-4,239,265,841,6603,83,5168,5654,17509,0.0
2022-03-01,0105,-142,-1,327,646,834,6461,82,5495,6301,18343,0.0
2022-04-01,0105,230,-1,107,627,968,6689,81,5604,6932,19305,0.0
2022-05-01,0105,324,-1,-88,438,669,7013,80,5512,7368,19976,0.0
2022-06-01,0105,330,-3,-75,841,1095,7341,77,5440,8209,21069,0.0
2022-07-01,0105,417,-5,2,988,1403,7759,72,5443,9200,22471,0.0
2022-08-01,0105,247,-5,-341,910,813,8006,67,5100,10108,23281,0.0
2022-09-01,0105,307,0,259,1066,1632,8314,67,5360,11171,24914,0.0
2022-10-01,0105,241,0,224,587,1052,8555,67,5583,11762,25966,0.0
2022-11-01,0105,123,0,-196,388,317,8680,67,5383,12150,26282,0.0
2022-12-01,0105,59,1,127,561,748,8738,68,5511,12711,27033,0.0
2023-01-01,0105,-29,-5,78,574,617,8708,63,5589,13282,27648,0.0
2023-02-01,0105,407,-3,-64,587,930,9116,60,5525,13872,28576,0.0
2023-03-01,0105,362,-2,-140,747,968,9480,59,5388,14618,29543,0.0
2023-04-01,0105,339,-2,-133,657,865,9819,57,5255,15277,30405,0.0
2023-05-01,0105,465,-3,-116,741,1088,10285,54,5139,16016,31494,0.0
2023-06-01,0105,398,-2,-76,881,1202,10682,52,5062,16898,32696,0.0
2023-07-01,0105,255,-1,-49,742,946,10939,51,5012,17638,33642,0.0
2023-08-01,0105,325,-1,-17,713,1022,11263,50,4996,18351,34662,0.0
2022-01-01,0106,569,-1,149,454,1174,8321,22,3018,4853,16211,0.0
2022-02-01,0106,690,0,315,269,1274,9009,22,3332,5120,17484,0.0
2022-03-01,0106,751,0,187,420,1360,9760,22,3527,5538,18846,0.0
2022-04-01,0106,547,-1,351,365,1266,10306,21,3879,5908,20111,0.0
