puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible_120,difference_percentage_aian_120,difference_percentage_asian_120,difference_percentage_black_120,difference_percentage_nhpi_120,difference_percentage_white_120,difference_percentage_hispanic_120,difference_percentage_veteran_120,difference_percentage_elderly_120,difference_percentage_disability_120,Percentage Eligible_135,difference_percentage_aian_135,difference_percentage_asian_135,difference_percentage_black_135,difference_percentage_nhpi_135,difference_percentage_white_135,difference_percentage_hispanic_135,difference_percentage_veteran_135,difference_percentage_elderly_135,difference_percentage_disability_135,Percentage Eligible_150,difference_percentage_aian_150,difference_percentage_asian_150,difference_percentage_black_150,difference_percentage_nhpi_150,difference_percentage_white_150,difference_percentage_hispanic_150,difference_percentage_veteran_150,difference_percentage_elderly_150,difference_percentage_disability_150,Total Subscribers
0100100,34309,38180,47.33,35.55,-22.2,-27.06,-19.43,,-25.48,0.0,-24.9,-30.33,-20.95,37.41,-22.2,-27.06,-17.9,,-21.74,0.0,-15.88,-24.28,-16.01,39.73,-1.6,-27.06,-7.47,,-17.72,0.0,-10.88,-18.92,-12.53,10803
0100200,12693,27623,31.48,22.55,-42.49,-86.03,-6.54,,-31.86,-3.74,-23.99,-28.38,-11.93,23.32,-42.49,-86.03,-3.88,,-29.58,0.0,-18.22,-24.33,-7.6,26.09,-19.15,-67.59,0.0,,-20.04,0.0,-11.19,-16.34,-3.65,5758
0100300,24639,36157,40.53,31.42,-10.68,0.0,-27.44,,-23.63,-6.03,-13.17,-30.8,-21.44,32.97,-0.6,0.0,-27.04,,-18.79,0.0,-10.94,-25.93,-18.05,35.3,-0.6,0.0,-9.18,,-14.36,0.0,-8.76,-16.98,-11.69,12842
0100401,15109,29072,34.2,24.6,-38.79,-79.39,-7.35,,-31.02,-13.84,-27.08,-29.48,-13.4,25.44,-38.71,-79.39,-4.77,,-28.68,-11.25,-20.89,-25.59,-9.52,28.09,-18.73,-62.39,-0.99,,-20.36,-6.37,-16.1,-18.15,-6.35,3262
0100402,22288,45031,33.11,26.48,-32.26,-50.36,-15.46,,-22.96,-7.31,-13.27,-25.41,-13.41,27.45,-32.26,-50.36,-12.44,,-20.07,0.0,-12.81,-20.11,-11.86,28.87,-14.7,-48.32,-8.54,,-15.24,0.0,-12.29,-13.45,-10.16,5370
0100403,15418,31564,32.82,27.73,-0.91,-10.28,-3.79,0.0,-19.99,-9.28,-25.05,-22.93,-9.33,28.16,-0.91,-0.21,-3.74,0.0,-19.45,-6.46,-23.06,-20.11,-8.37,28.71,-0.52,-0.21,-3.74,0.0,-17.13,-0.45,-16.77,-16.93,-6.62,3526
0100501,19140,23235,45.17,32.89,-17.24,0.0,-14.67,,-28.82,-26.54,-33.34,-33.98,-16.77,34.0,-16.41,0.0,-13.42,,-26.3,-25.37,-26.45,-30.79,-13.88,36.18,-16.41,0.0,-10.64,,-21.19,-14.43,-25.93,-25.6,-12.6,9489
0100600,24791,21429,53.64,41.76,-14.04,-13.22,0.0,,-22.3,-23.37,-27.38,-28.08,-16.89,44.19,-4.19,-13.22,0.0,,-18.12,-15.49,-21.78,-22.08,-10.44,45.5,-2.01,-13.22,0.0,,-15.67,-15.49,-21.04,-19.22,-8.29,8066
0100700,25616,22536,53.2,42.27,-4.09,0.0,-12.06,,-21.44,-8.68,-26.88,-30.98,-23.61,44.65,-4.09,0.0,-10.23,,-16.43,-8.68,-24.92,-22.7,-16.5,46.68,-1.26,0.0,-8.27,,-12.26,-8.68,-20.88,-16.01,-10.01,9686
0100800,25857,18774,57.94,45.26,-12.57,-29.78,-12.31,,-24.03,-27.63,-10.4,-29.75,-18.89,46.12,-12.57,-29.78,-12.31,,-22.05,-27.63,-10.4,-26.85,-15.35,48.78,-9.05,-29.78,-11.14,,-16.32,-27.63,-7.24,-20.48,-10.48,7393
0100900,26757,28083,48.79,40.09,-14.46,0.0,-18.77,0.0,-17.71,-7.18,-20.39,-21.55,-18.35,41.88,-13.73,0.0,-7.89,0.0,-14.93,-7.18,-16.17,-16.75,-13.93,42.87,-13.73,0.0,-5.53,0.0,-12.92,-7.18,-16.17,-13.1,-10.95,7071
