puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
0100100,34309,38180,47.33,35.55,-22.2,-27.06,-19.43,0.0,-25.48,0.0,-24.9,-30.33,-20.95,-3.75
0100200,12693,27623,31.48,22.55,-42.49,-86.03,-6.54,0.0,-31.86,-3.74,-23.99,-28.38,-11.93,0.0
0100300,24639,36157,40.53,31.42,-10.68,0.0,-27.44,0.0,-23.63,-6.03,-13.17,-30.8,-21.44,-4.53
0100401,15109,29072,34.2,24.6,-38.79,-79.39,-7.35,0.0,-31.02,-13.84,-27.08,-29.48,-13.4,-3.28
0100402,22288,45031,33.11,26.48,-32.26,-50.36,-15.46,0.0,-22.96,-7.31,-13.27,-25.41,-13.41,0.0
0100403,15418,31564,32.82,27.73,-0.91,-10.28,-3.79,0.0,-19.99,-9.28,-25.05,-22.93,-9.33,-20.34
0100501,19140,23235,45.17,32.89,-17.24,0.0,-14.67,0.0,-28.82,-26.54,-33.34,-33.98,-16.77,-7.7
0100600,24791,21429,53.64,41.76,-14.04,-13.22,0.0,0.0,-22.3,-23.37,-27.38,-28.08,-16.89,-22.86
0100700,25616,22536,53.2,42.27,-4.09,0.0,-12.06,0.0,-21.44,-8.68,-26.88,-30.98,-23.61,-36.19
0100800,25857,18774,57.94,45.26,-12.57,-29.78,-12.31,0.0,-24.03,-27.63,-10.4,-29.75,-18.89,-18.78
0100900,26757,28083,48.79,40.09,-14.46,0.0,-18.77,0.0,-17.71,-7.18,-20.39,-21.55,-18.35,-16.19
0101000,25513,28723,47.04,33.62,-25.69,-9.3,-26.06,0.0,-28.59,-20.91,-42.72,-30.97,-25.26,-2.73
0101100,27156,20882,56.53,45.15,-9.99,0.0,-14.64,0.0,-26.9,-20.69,-25.71,-22.54,-15.69,-0.55
0101201,12925,24790,34.27,26.38,0.0,-0.42,-12.74,0.0,-26.69,0.0,-34.76,-28.89,-28.95,-2.34
0101202,27585,21503,56.19,45.64,-54.45,-59.25,-12.43,0.0,-20.69,-29.88,-31.11,-24.14,-20.0,-41.33
0101301,20995,22179,48.63,38.06,-19.43,0.0,-19.83,0.0,-22.48,0.0,-21.22,-20.96,-19.67,0.0
0101401,19188,25998,42.46,37.43,0.0,0.0,-10.19,0.0,-13.44,-7.16,-31.81,-16.22,-9.89,-0.14
0101402,22388,27886,44.53,34.26,-9.54,0.0,-21.5,0.0,-24.85,-0.35,-31.46,-21.44,-18.23,-0.42
0101403,46905,32897,58.78,47.88,-9.99,-42.65,-14.89,0.0,-35.35,-4.41,-30.1,-19.09,-13.28,-29.07
0101404,22283,54439,29.04,22.82,-54.76,-20.12,-21.6,0.0,-22.91,-22.39,-19.12,-15.13,-16.81,-0.69
0101501,15272,37966,28.69,22.44,-12.57,-2.65,-13.63,0.0,-22.88,-41.69,-12.21,-22.18,-11.96,-44.35
0101502,18109,31985,36.15,28.62,-13.48,-2.15,-13.29,0.0,-22.77,-37.09,-12.1,-23.1,-13.68,-46.86
0101600,29988,24208,55.33,41.66,-9.35,0.0,-29.41,0.0,-22.83,-3.11,-33.84,-31.91,-18.73,-15.49
0101700,22455,21530,51.05,39.49,-20.52,0.0,-18.08,0.0,-27.78,-15.76,-23.56,-25.43,-16.3,-7.67
0101801,23543,20928,52.94,45.06,-45.27,-39.21,-12.73,0.0,-18.15,-16.67,-18.78,-20.39,-9.19,-34.05
0101802,22393,20305,52.45,44.42,-45.45,-39.28,-12.96,0.0,-18.89,-16.05,-18.77,-20.82,-9.8,-33.63
0101901,16030,22023,42.13,31.19,-55.15,0.0,-24.8,0.0,-25.64,-8.5,-19.08,-28.56,-20.98,-12.94
0102000,23234,20674,52.92,43.2,-17.82,-1.27,-12.33,-100.0,-21.79,-16.71,-10.38,-21.74,-13.42,-42.47
0102101,23579,25869,47.68,37.94,-1.98,-23.8,-22.94,0.0,-16.58,-25.99,-41.47,-26.43,-18.56,-28.26
0102201,21813,18584,54.0,44.78,-15.33,-17.45,-14.32,-100.0,-17.48,-12.13,-18.57,-18.8,-11.38,-14.29
0102300,30699,30389,50.25,39.96,-25.56,-12.47,-8.5,0.0,-24.77,-24.96,-29.1,-25.15,-17.5,-24.69
0102400,19777,20018,49.7,40.16,-20.48,-7.11,-9.62,0.0,-22.08,-24.98,-29.23,-22.46,-15.15,-21.04
0102500,25844,22298,53.68,44.9,-16.9,-2.48,-11.19,-100.0,-19.2,-11.39,-18.41,-17.97,-10.38,0.0
0102600,29392,19035,60.69,47.73,-44.81,0.0,-15.48,0.0,-23.2,-81.88,-27.51,-22.0,-17.21,-93.7
0102701,16192,31971,33.62,24.93,-36.3,-8.22,-20.49,0.0,-25.62,-34.69,-20.75,-26.41,-18.34,-44.99
0102702,15445,30497,33.62,24.93,-36.21,-8.63,-20.5,0.0,-25.63,-34.67,-20.69,-26.4,-18.33,-45.0
0102801,25976,25104,50.85,41.1,-23.54,-19.44,-18.34,0.0,-19.43,-4.34,-10.06,-21.51,-15.4,-6.61
0102802,25744,25877,49.87,38.94,-19.0,-33.38,-15.12,0.0,-25.68,-7.74,-15.95,-26.23,-19.64,-17.6
0102803,34782,25479,57.72,48.98,0.0,-19.92,-12.06,0.0,-23.29,-10.93,-13.4,-15.96,-9.93,-19.78
