state,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
01,911822,1055721,46.34,25385,11957,296511,895,430023,39693,84391,292886,301156,24886,36.7,-19.49,-25.84,-15.02,-5.89,-23.47,-17.52,-23.23,-24.42,-16.73,-19.2
02,106704,164595,39.33,30399,9305,7445,606,65155,9935,17261,34029,40408,8795,34.76,-9.56,-6.96,-10.6,0.0,-12.69,-6.81,-19.59,-13.87,-9.61,-3.25
04,1174568,1643126,41.69,98624,50979,89923,2322,755120,416269,118516,406297,378034,209281,34.48,-11.92,-13.92,-13.17,-18.1,-18.42,-13.36,-19.77,-20.16,-12.94,-10.26
05,600752,582813,50.76,25093,11955,117122,1223,372799,49369,58267,193993,218260,26060,41.4,-15.58,-10.13,-13.81,0.0,-19.58,-12.51,-22.56,-23.5,-14.75,-11.36
06,6013704,7415330,44.78,290363,954446,604258,18519,3100654,2614598,407405,2322990,1931982,2131643,40.2,-7.88,-8.89,-7.96,-9.25,-11.63,-8.33,-12.88,-11.95,-7.65,-6.86
08,824852,1488185,35.66,46526,39783,70536,2838,589216,235250,87500,258378,253783,100556,30.11,-9.75,-14.27,-8.91,-11.34,-16.31,-10.49,-16.28,-19.12,-10.84,-9.35
09,568632,859687,39.81,13696,28821,112477,290,355160,146606,42518,226599,188833,109406,35.5,-9.27,-8.04,-7.75,0.0,-12.17,-7.08,-13.15,-12.59,-6.81,-6.68
10,150742,244926,38.1,6103,5551,47168,0,80192,18186,13955,55193,47171,16363,32.37,-7.91,-12.56,-8.8,0.0,-17.95,-7.28,-20.02,-21.72,-13.16,-5.31
12,3685918,4879423,43.03,72967,119161,723134,3283,2146586,1038656,336501,1424223,1125330,778846,34.89,-17.65,-15.84,-13.97,-3.84,-20.36,-14.36,-21.53,-21.33,-13.71,-13.13
13,1665435,2335679,41.62,51473,61326,631314,976,706776,165658,161956,538310,518614,141561,34.05,-15.92,-19.27,-13.65,-21.35,-21.16,-16.12,-22.57,-20.6,-13.75,-15.07
15,207027,283055,42.24,10259,113307,11569,56286,94164,32834,30253,96367,67718,44722,37.81,-3.67,-8.9,-10.12,-5.41,-11.02,-4.46,-12.27,-11.55,-7.53,-7.86
16,287136,406735,41.38,15607,7684,6486,2017,210726,45871,34042,89774,97679,23255,33.29,-8.09,-11.14,-11.72,0.0,-20.07,-12.04,-23.64,-24.32,-14.52,-8.33
17,2000692,2990960,40.08,62506,109399,462084,1523,1076468,366792,132465,684196,614900,329190,33.99,-9.51,-12.37,-7.78,0.0,-18.37,-13.21,-20.07,-19.32,-12.09,-11.45
18,1099146,1581549,41.0,34533,30554,166219,1406,727644,96158,89695,347174,375748,58158,33.36,-14.14,-11.81,-13.22,0.0,-19.43,-12.39,-19.11,-22.52,-13.16,-12.85
19,497487,802975,38.25,17604,14199,42539,356,367528,42679,38898,157292,161244,27709,31.47,-11.39,-13.58,-7.52,-51.5,-18.4,-12.32,-23.14,-23.84,-12.83,-11.27
20,449522,709501,38.78,23151,15135,50918,607,286552,60674,33961,124931,148089,36326,29.46,-16.65,-22.54,-14.2,-18.19,-25.16,-16.78,-22.88,-28.95,-16.49,-15.93
