zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
0000 ,41.14,1450,1540,48.49,-8.98,-12.07,-17.14,0.0,-17.78,-14.45,-20.0,-17.49,-12.35
00601,78.41,5144,756,87.19,-13.59,0.0,-10.22,,-10.51,-10.1,-17.61,-9.49,-7.63
00602,76.67,11319,1800,86.28,-13.11,0.0,-14.22,,-11.69,-11.18,-18.23,-10.98,-9.27
00603,76.66,15014,2387,86.28,-13.08,0.0,-14.21,,-11.69,-11.17,-18.29,-10.98,-9.25
00606,78.35,1494,220,87.16,-13.73,0.0,-10.06,,-10.55,-10.13,-19.05,-9.65,-7.7
00610,78.94,8215,1222,87.05,-12.98,0.0,-11.73,,-12.17,-9.36,-9.36,-9.39,-7.9
00611,78.4,501,74,87.13,-13.89,0.0,-9.68,,-10.59,-10.2,-21.43,-9.39,-7.66
00612,74.05,18257,3017,85.82,-0.76,0.0,-10.56,,-14.34,-13.75,-13.19,-15.87,-8.84
00616,73.95,2872,476,85.78,0.0,0.0,-10.57,,-14.44,-13.85,-13.43,-15.96,-8.96
00617,73.95,6590,1092,85.78,0.0,0.0,-10.56,,-14.43,-13.82,-13.31,-15.99,-8.9
00622,74.59,2330,385,85.82,-7.5,,-15.23,,-13.6,-13.13,-18.95,-14.09,-15.65
00623,74.59,11685,1929,85.83,-7.92,,-15.21,,-13.62,-13.14,-19.33,-14.12,-15.61
00624,77.99,6359,912,87.46,-9.57,,-8.17,,-11.32,-10.83,-36.82,-12.03,-11.01
00627,79.32,9915,1378,87.8,-7.34,,-14.56,,-9.81,-9.67,-8.43,-9.97,-6.11
00631,78.42,420,62,87.14,-13.33,0.0,-9.62,,-10.29,-10.02,-16.67,-9.48,-7.53
00636,74.48,164,27,85.86,0.0,,-18.18,,-13.64,-13.41,-28.57,-14.14,-16.05
00637,78.03,6762,948,87.7,-8.82,,-7.97,,-11.51,-11.01,-36.7,-12.25,-11.54
00638,78.34,5402,796,87.16,-13.61,0.0,-10.24,,-10.55,-10.15,-17.88,-9.58,-7.62
00641,78.41,7245,1065,87.18,-13.71,0.0,-10.27,,-10.51,-10.09,-18.0,-9.51,-7.63
00646,59.96,9704,3627,72.79,-22.66,0.0,-8.22,,-14.74,-17.57,-38.77,-20.77,-15.36
00647,78.09,1349,189,87.71,-10.0,,-6.94,,-11.44,-10.98,-36.36,-12.28,-11.51
00650,74.5,4000,653,85.97,-8.33,0.0,-10.91,,-13.93,-13.35,-14.04,-15.15,-8.7
00652,73.96,1176,195,85.78,0.0,0.0,-10.75,,-14.51,-13.8,-12.73,-15.97,-8.8
00653,78.12,2703,377,87.76,-9.76,,-8.28,,-11.46,-11.0,-36.78,-12.2,-11.43
00656,78.12,5253,733,87.75,-8.86,,-7.83,,-11.48,-10.97,-36.9,-12.21,-11.42
00659,79.32,11287,1569,87.8,-7.92,,-14.61,,-9.82,-9.66,-8.4,-9.97,-6.11
00660,79.0,4938,733,87.07,-13.02,0.0,-11.65,,-12.23,-9.31,-9.22,-9.38,-7.91
00662,79.33,12298,1710,87.79,-7.73,,-14.58,,-9.82,-9.67,-8.39,-9.97,-6.1
00664,78.4,4492,661,87.17,-13.71,0.0,-10.43,,-10.52,-10.09,-17.74,-9.5,-7.63
00667,74.59,6991,1154,85.83,-8.26,,-15.04,,-13.61,-13.14,-19.3,-14.11,-15.62
00669,78.41,8300,1221,87.18,-13.64,0.0,-10.32,,-10.5,-10.09,-17.9,-9.48,-7.61
00670,78.42,2635,387,87.19,-14.29,0.0,-10.49,,-10.52,-10.05,-19.18,-9.48,-7.71
00674,73.94,11495,1910,85.75,0.0,0.0,-10.41,,-14.43,-13.8,-13.32,-15.89,-8.89
00676,76.66,11065,1759,86.28,-13.08,0.0,-14.2,,-11.7,-11.17,-18.35,-10.97,-9.25
00677,76.67,4639,738,86.27,-13.24,0.0,-14.17,,-11.72,-11.15,-17.9,-11.01,-9.25
00678,79.31,7661,1066,87.79,-8.33,,-14.66,,-9.84,-9.67,-8.39,-9.95,-6.11
00680,78.92,14706,2188,87.05,-13.15,0.0,-11.79,,-12.27,-9.38,-9.22,-9.45,-8.04
00682,78.99,9046,1343,87.07,-13.32,0.0,-11.75,,-12.23,-9.31,-8.91,-9.36,-7.92
00683,74.59,8853,1462,85.83,-7.84,,-15.18,,-13.61,-13.14,-19.39,-14.12,-15.61
00685,78.39,12028,1769,87.18,-13.69,0.0,-10.44,,-10.5,-10.09,-17.86,-9.54,-7.62
00687,72.87,8055,1632,83.15,0.0,0.0,-6.9,,-12.75,-12.4,-25.28,-10.53,-9.75
00688,73.96,3637,603,85.78,0.0,0.0,-10.76,,-14.43,-13.8,-13.53,-15.96,-8.9
00690,76.67,1605,255,86.29,-13.16,0.0,-14.21,,-11.73,-11.18,-17.86,-10.97,-9.26
00692,72.87,9219,1868,83.15,0.0,0.0,-6.76,,-12.73,-12.4,-25.49,-10.53,-9.77
00693,72.88,15737,3185,83.17,0.0,0.0,-6.83,,-12.75,-12.41,-25.64,-10.57,-9.75
00694,72.37,63,13,82.89,,,-14.29,,-12.5,-12.7,0.0,-11.76,-7.41
00698,78.11,9876,1379,87.75,-8.72,,-7.94,,-11.46,-10.98,-37.03,-12.2,-11.45
00703,73.22,6930,1465,82.55,-33.72,,-11.45,,-10.53,-11.3,-11.55,-12.39,-10.01
00704,80.05,2276,306,88.15,0.0,,-6.65,,-12.51,-9.2,-6.45,-4.33,-3.2
00705,73.24,6694,1413,82.57,-33.73,,-11.42,,-10.55,-11.33,-11.52,-12.36,-10.02
00707,80.05,3495,470,88.15,0.0,,-6.65,,-12.48,-9.2,-5.26,-4.33,-3.22
00714,80.05,5239,704,88.15,0.0,,-6.69,,-12.5,-9.22,-5.59,-4.32,-3.25
00715,76.14,673,119,84.97,-16.67,,-11.82,,-10.73,-10.42,-27.78,-10.16,-7.85
00716,76.19,8559,1714,83.32,-14.1,,-10.28,,-8.85,-8.58,-28.04,-9.29,-5.0
00717,76.2,4278,856,83.33,-12.82,,-10.28,,-8.85,-8.58,-28.04,-9.28,-5.0
00718,77.92,7141,1205,85.56,0.0,-33.33,-11.93,,-13.49,-8.84,-24.83,-9.53,-9.97
00719,74.82,7753,1601,82.88,0.0,,-6.98,,-9.62,-9.75,-12.06,-8.05,-5.43
00720,78.39,6060,891,87.18,-13.69,0.0,-10.32,,-10.51,-10.11,-17.37,-9.55,-7.63
00723,80.05,5298,712,88.15,0.0,,-6.69,,-12.47,-9.21,-6.21,-4.31,-3.25
00725,70.79,22973,5842,79.73,-20.4,0.0,-11.23,,-9.93,-10.91,-8.43,-11.24,-7.51
00727,71.5,16312,3960,80.47,-20.31,0.0,-11.2,,-9.89,-10.83,-8.36,-11.2,-7.36
00728,76.19,11044,2211,83.32,-13.0,,-10.26,,-8.84,-8.58,-27.9,-9.29,-4.99
00729,67.46,12923,3613,78.15,0.0,-18.31,-14.36,,-14.95,-13.35,-26.38,-14.19,-12.1
00730,76.19,9193,1840,83.32,-13.25,,-10.29,,-8.84,-8.59,-27.51,-9.28,-4.99
00731,76.25,3698,735,83.42,-14.63,,-10.03,,-8.89,-8.6,-27.96,-9.32,-5.09
00735,77.92,3464,585,85.55,0.0,-33.33,-11.89,,-13.46,-8.84,-24.31,-9.52,-10.0
00736,73.23,12542,2651,82.55,-32.9,,-11.45,,-10.52,-11.31,-11.45,-12.39,-10.01
00738,77.92,9416,1589,85.56,0.0,-37.5,-11.92,,-13.52,-8.85,-24.49,-9.52,-10.03
00739,73.23,9565,2022,82.55,-33.05,,-11.46,,-10.54,-11.31,-11.53,-12.37,-10.01
00740,77.86,456,77,85.55,0.0,-100.0,-12.5,,-12.93,-8.81,-26.32,-9.58,-10.0
00741,77.93,1082,183,85.53,0.0,-50.0,-11.84,,-13.41,-8.82,-24.44,-9.52,-9.86
00745,67.47,13012,3638,78.15,0.0,-16.9,-14.41,,-14.95,-13.34,-26.56,-14.2,-12.09
00751,80.03,6418,864,88.14,0.0,,-6.61,,-12.51,-9.23,-6.82,-4.35,-3.27
00754,69.49,9644,2794,77.54,0.0,0.0,-9.53,,-3.49,-10.41,-20.54,-9.8,-8.59
00757,76.24,5692,778,87.98,-8.93,,-12.87,,-14.71,-13.33,-33.95,-11.73,-12.58
00765,77.93,2527,427,85.55,0.0,-25.0,-11.8,,-13.49,-8.82,-24.76,-9.52,-10.09
00766,76.27,6307,862,87.98,-7.58,,-12.92,,-14.62,-13.29,-33.89,-11.74,-12.5
00767,77.92,9397,1586,85.56,0.0,-37.5,-11.95,,-13.51,-8.85,-24.74,-9.51,-10.01
00769,76.25,9634,1316,87.98,-8.51,,-12.92,,-14.7,-13.34,-34.55,-11.76,-12.56
00771,69.68,9175,2631,77.71,0.0,0.0,-9.57,,-3.72,-10.36,-20.7,-9.79,-8.64
00772,67.47,4893,1368,78.15,0.0,-18.52,-14.41,,-14.96,-13.35,-26.56,-14.19,-12.11
00773,67.46,4847,1355,78.15,0.0,-15.38,-14.36,,-14.96,-13.35,-26.7,-14.18,-12.13
00775,77.97,548,93,85.49,0.0,0.0,-12.82,,-13.57,-8.79,-26.09,-9.55,-9.72
00777,69.49,9921,2875,77.53,0.0,0.0,-9.59,,-3.49,-10.41,-20.39,-9.8,-8.59
00778,66.66,10795,3281,76.69,0.0,0.0,-13.1,,-11.09,-12.88,-11.9,-12.48,-11.1
00780,76.19,4463,859,83.86,-12.2,,-11.15,,-9.48,-9.17,-28.32,-9.6,-5.89
00782,73.22,4914,1039,82.55,-32.79,,-11.38,,-10.53,-11.31,-11.24,-12.36,-10.01
00783,74.82,8791,1816,82.88,-0.92,,-6.95,,-9.63,-9.75,-12.33,-8.06,-5.45
00784,80.05,12035,1618,88.15,0.0,,-6.62,,-12.48,-9.21,-6.08,-4.32,-3.25
00786,73.03,73,15,82.95,0.0,,-10.0,,-11.11,-10.96,-33.33,-12.5,-9.76
00791,77.77,14456,2466,85.43,0.0,-30.77,-11.97,,-13.35,-8.87,-24.67,-9.5,-9.97
00794,73.27,7884,1658,82.62,-32.99,,-11.48,,-10.6,-11.33,-11.58,-12.39,-10.06
00795,76.25,12339,1686,87.98,-8.33,,-12.91,,-14.69,-13.34,-34.38,-11.75,-12.57
00901,61.21,1786,751,70.4,0.0,,-6.38,,-16.14,-12.67,-22.08,-13.77,-8.82
00906,61.43,49,21,70.0,,,-11.11,,-16.67,-12.5,0.0,-13.04,-11.11
00907,61.21,4849,2039,70.4,0.0,,-6.6,,-16.05,-12.68,-22.01,-13.71,-8.93
00909,61.2,2010,845,70.4,0.0,,-6.74,,-16.06,-12.7,-21.84,-13.73,-8.95
00911,61.2,2153,906,70.38,0.0,,-6.55,,-16.04,-12.72,-22.58,-13.73,-8.88
00912,61.2,1665,700,70.4,0.0,,-6.51,,-16.1,-12.66,-22.22,-13.73,-8.78
00913,61.2,2086,877,70.4,0.0,,-6.75,,-16.07,-12.73,-22.22,-13.75,-8.89
00915,61.21,7208,3031,70.4,0.0,,-6.62,,-16.06,-12.69,-21.94,-13.71,-8.89
00917,60.95,4939,2086,70.31,-5.13,,-6.75,,-16.27,-13.01,-21.23,-14.19,-9.38
00918,61.21,5014,2109,70.39,0.0,,-6.6,,-16.04,-12.7,-22.22,-13.73,-8.91
00920,61.2,4253,1789,70.39,0.0,,-6.63,,-16.05,-12.69,-21.86,-13.7,-8.92
00921,60.45,8994,3830,70.13,-12.38,0.0,-6.91,,-16.73,-13.64,-19.42,-15.0,-10.26
00923,59.25,6379,2770,69.72,-18.32,0.0,-7.28,,-17.73,-15.12,-14.5,-16.88,-12.12
00924,59.3,13445,5773,69.96,-17.91,0.0,-8.17,,-17.77,-15.34,-15.94,-16.76,-12.39
00925,60.52,1547,658,70.16,-11.76,,-6.89,,-16.71,-13.57,-19.7,-14.97,-10.17
00926,59.96,26073,10985,70.36,-18.07,0.0,-8.04,,-17.05,-14.85,-14.34,-16.33,-11.95
00927,60.46,4016,1710,70.14,-10.87,0.0,-6.93,,-16.7,-13.63,-19.41,-15.01,-10.21
00934,51.9,47,32,59.49,,,-12.5,,-10.0,-12.77,0.0,-7.41,-11.11
00949,59.37,17843,6956,71.95,-22.84,0.0,-8.5,,-14.56,-17.41,-37.36,-20.43,-15.26
00950,50.0,3,1,75.0,,,,,0.0,-33.33,,0.0,0.0
00951,59.75,116,44,72.5,-50.0,0.0,-10.53,,-13.79,-17.54,-40.0,-20.69,-15.38
00952,59.83,2318,871,72.69,-22.58,0.0,-8.18,,-14.79,-17.64,-38.61,-20.89,-15.42
00953,74.34,17123,3619,82.55,-0.47,0.0,-7.02,,-9.72,-9.97,-13.26,-8.37,-5.68
00956,67.36,19552,6374,75.41,0.0,0.0,-8.77,,-11.84,-10.73,-14.16,-10.83,-7.18
00957,67.59,10934,3520,75.65,0.0,0.0,-8.62,,-11.75,-10.68,-13.96,-10.72,-7.09
00959,67.04,11745,3894,75.1,0.0,0.0,-8.96,,-11.83,-10.77,-14.41,-10.85,-7.21
00960,67.34,781,255,75.39,0.0,0.0,-8.14,,-11.84,-10.78,-15.79,-10.9,-7.21
00961,67.08,7558,2502,75.13,0.0,0.0,-8.91,,-11.84,-10.73,-14.21,-10.85,-7.17
00962,48.82,4046,3203,55.81,0.0,,-13.92,,-10.37,-12.53,-5.71,-10.64,-11.8
00965,48.81,1264,1001,55.81,0.0,,-14.17,,-10.31,-12.58,-5.45,-10.64,-11.68
00966,50.14,3605,2665,57.5,-8.33,,-12.83,,-11.18,-12.75,-7.69,-11.27,-11.63
00968,48.83,764,605,55.81,0.0,,-14.09,,-10.32,-12.57,-6.06,-10.57,-11.93
00969,50.63,8335,6009,58.11,-8.33,0.0,-12.71,,-11.39,-12.88,-7.24,-11.53,-11.67
00971,48.82,5844,4627,55.81,0.0,,-13.94,,-10.37,-12.53,-5.53,-10.64,-11.79
00976,66.2,15961,4943,76.35,-5.56,0.0,-13.04,,-11.59,-13.12,-12.67,-12.71,-11.26
00979,60.03,4203,1504,73.65,0.0,0.0,-20.0,,-18.9,-18.49,-26.48,-15.11,-16.3
00982,60.02,3994,1429,73.65,0.0,0.0,-20.07,,-18.89,-18.48,-26.37,-15.14,-16.26
00983,60.03,8982,3214,73.65,0.0,0.0,-20.07,,-18.85,-18.48,-26.55,-15.13,-16.27
00985,60.03,8803,3150,73.65,0.0,0.0,-20.08,,-18.87,-18.48,-26.46,-15.12,-16.24
00987,60.06,16451,5881,73.67,0.0,0.0,-20.03,,-18.83,-18.46,-26.49,-15.1,-16.24
01001,45.8,3516,3347,51.23,0.0,-35.29,-1.68,,-9.3,0.0,-5.12,-16.11,-7.42
01002,36.91,4533,6489,41.13,-2.8,-24.57,-17.71,0.0,-10.36,-7.95,-11.33,-15.96,-10.28
01003,36.88,2182,3130,41.08,-2.9,-23.74,-16.87,0.0,-10.34,-8.12,-11.68,-15.78,-10.24
01005,33.26,725,1220,37.28,-4.55,-18.92,-2.63,0.0,-10.23,-1.85,-13.64,-16.21,-5.56
01007,37.38,2501,3448,42.04,-3.9,-28.43,-28.1,0.0,-10.54,-12.41,-8.91,-17.55,-11.68
01008,45.42,272,262,50.94,0.0,-38.89,0.0,,-9.5,-1.52,-5.71,-15.7,-7.75
01009,35.5,159,242,39.65,0.0,-9.09,0.0,,-11.03,-7.14,-5.56,-16.25,-5.08
01010,35.44,603,919,39.62,0.0,-4.88,0.0,,-11.05,-7.55,-4.35,-16.45,-5.75
01011,44.77,240,240,50.0,0.0,-41.18,-4.35,,-9.39,0.0,-3.45,-16.98,-7.96
01012,37.31,85,117,42.08,0.0,-28.57,-25.0,,-11.39,-20.0,-14.29,-17.95,-13.89
01013,35.46,3851,5865,39.64,-17.86,-4.18,0.0,,-11.09,-7.81,-4.98,-16.25,-5.9
01020,35.49,4852,7381,39.66,-17.14,-4.23,0.0,0.0,-11.06,-7.8,-5.21,-16.22,-5.84
01022,35.48,351,534,39.66,-33.33,-4.17,0.0,,-11.21,-8.06,-5.0,-15.91,-6.11
01026,37.56,167,227,42.39,0.0,-25.0,-33.33,,-10.32,-11.11,-14.29,-16.88,-12.68
01027,36.93,2944,4209,41.16,-1.09,-24.48,-19.13,0.0,-10.36,-8.53,-11.41,-15.93,-10.33
01028,35.53,2678,4066,39.71,-15.79,-4.4,0.0,,-11.07,-7.55,-5.21,-16.2,-5.89
01029,39.31,148,169,46.69,0.0,0.0,0.0,,-15.49,-28.57,-10.53,-16.88,-12.9
01030,45.81,2425,2309,51.23,0.0,-35.37,-1.63,,-9.33,0.0,-4.85,-16.04,-7.46
01031,33.27,208,351,37.21,0.0,-27.27,0.0,,-10.27,-3.23,-15.79,-16.19,-6.02
01032,37.23,79,109,42.02,0.0,-33.33,-25.0,,-9.59,-20.0,0.0,-16.67,-12.12
01033,36.89,1002,1438,41.07,-3.12,-23.44,-15.79,,-10.4,-8.22,-11.11,-15.75,-10.19
01034,45.85,408,388,51.26,0.0,-35.71,0.0,,-9.17,0.0,-5.77,-15.64,-7.73
01035,36.87,878,1259,41.09,-3.57,-23.21,-15.15,,-10.28,-7.81,-11.39,-15.75,-10.03
01036,35.44,809,1231,39.66,-16.67,-3.64,0.0,,-11.2,-7.69,-5.38,-16.22,-5.63
01037,33.33,105,177,37.23,0.0,-20.0,-16.67,,-9.68,-6.25,-11.11,-16.98,-7.14
01038,37.38,408,563,42.02,-7.69,-28.12,-30.0,,-10.79,-12.5,-9.09,-17.65,-11.63
01039,37.35,245,337,42.1,-12.5,-26.32,-33.33,,-10.57,-14.29,-10.0,-17.86,-11.65
01040,45.8,7913,7534,51.23,0.0,-35.45,-1.5,,-9.3,-0.1,-4.95,-16.09,-7.44
01050,38.52,414,543,43.26,-8.33,-25.81,-20.83,,-10.44,-5.41,-5.56,-16.93,-11.17
01053,36.9,334,479,41.08,-9.09,-23.81,-15.38,,-10.29,-8.33,-10.0,-15.79,-10.64
01054,37.36,306,422,42.03,0.0,-29.17,-26.67,,-10.53,-11.11,-8.0,-17.14,-11.63
01056,35.46,3419,5207,39.64,-16.0,-3.86,0.0,,-11.08,-7.79,-5.09,-16.27,-5.87
01057,35.45,1328,2023,39.63,-20.0,-4.4,0.0,,-11.1,-7.69,-5.23,-16.17,-5.85
01060,36.89,2382,3417,41.08,-1.33,-24.34,-17.58,0.0,-10.33,-8.05,-11.63,-15.75,-10.18
01062,36.88,1797,2578,41.07,-1.75,-24.35,-16.18,0.0,-10.29,-7.63,-11.73,-15.85,-10.19
01063,36.88,347,498,41.07,0.0,-22.73,-15.38,,-10.22,-8.0,-9.68,-15.82,-10.27
01066,37.35,35,48,42.17,0.0,-33.33,-50.0,,-9.38,0.0,0.0,-18.75,-13.33
01068,30.54,252,475,34.66,-50.0,-12.5,-22.22,0.0,-9.05,-32.14,-15.38,-10.95,-4.59
01069,35.47,1371,2088,39.64,-20.0,-3.23,0.0,,-11.07,-7.47,-5.1,-16.23,-5.85
01070,37.67,94,128,42.34,0.0,-28.57,-25.0,,-10.34,-20.0,0.0,-20.45,-10.26
01071,45.82,307,292,51.25,0.0,-38.1,0.0,,-9.23,0.0,-5.13,-16.3,-7.53
01072,37.38,221,305,42.02,0.0,-29.41,-27.27,,-10.68,-15.38,-11.11,-16.83,-11.83
01073,37.38,1009,1391,42.04,-3.23,-27.85,-28.57,,-10.55,-12.07,-9.76,-17.53,-11.76
01074,33.33,87,146,37.34,0.0,0.0,-20.0,,-10.39,0.0,-12.5,-15.91,-5.71
01075,36.88,2992,4292,41.08,-2.13,-24.08,-17.54,0.0,-10.31,-8.22,-11.48,-15.82,-10.25
01077,45.81,1913,1821,51.23,0.0,-35.38,-1.55,,-9.29,-0.21,-4.92,-16.05,-7.37
01079,35.4,115,175,39.66,0.0,0.0,0.0,,-10.48,-5.0,0.0,-15.52,-4.65
01080,35.43,392,596,39.68,-33.33,-3.7,0.0,,-11.14,-7.25,-4.44,-16.24,-5.48
