metdiv20,MetDivName,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
11244,"Anaheim-Santa Ana-Irvine, CA",425077,651698,39.48,13086,107933,16780,1103,220977,165009,26887,172846,116929,175287,36.03,-8.19,-7.06,-7.15,-30.5,-10.31,-7.11,-9.89,-9.83,-6.49,-5.45
14454,"Boston, MA",320320,473987,40.33,5808,31703,81852,294,191525,58851,17826,135662,104811,89470,37.4,-5.7,-5.49,-3.29,0.0,-8.72,-3.93,-7.22,-9.23,-5.49,-4.39
15764,"Cambridge-Newton-Framingham, MA",343578,601669,36.35,7473,32595,37675,98,236629,79990,21457,145027,116593,92373,33.54,-4.84,-7.02,-2.07,0.0,-8.09,-3.91,-7.4,-10.02,-6.05,-4.57
15804,"Camden, NJ",173936,315550,35.53,4108,10392,43206,160,92947,32602,14114,71150,65836,24154,31.19,-11.92,-8.47,-5.71,0.0,-15.54,-9.94,-15.77,-14.11,-9.04,-13.55
16984,"Chicago-Naperville-Evanston, IL",1118496,1683926,39.91,30127,86522,341032,667,493296,266293,58865,420779,330472,263414,35.3,-5.92,-9.9,-6.14,0.0,-15.6,-11.53,-15.27,-14.15,-8.78,-10.32
19124,"Dallas-Plano-Irving, TX",669190,1251199,34.85,22536,43485,169744,532,306528,206226,41521,181567,183574,158418,28.61,-13.11,-16.19,-13.22,-22.9,-19.49,-17.81,-20.6,-19.74,-14.08,-17.43
19804,"Detroit-Dearborn-Livonia, MI",368229,326725,52.99,9263,10209,189964,728,146430,23312,23789,135219,131543,35976,48.44,-9.45,-1.45,-6.36,-12.29,-11.52,-4.3,-8.6,-11.76,-6.18,-2.7
20994,"Elgin, IL",97385,171953,36.16,4020,3985,10472,148,63191,33282,6880,30662,30534,22680,31.2,-8.93,-13.59,-6.87,0.0,-15.44,-9.67,-21.64,-16.07,-11.29,-4.68
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",328575,419214,43.94,5901,13839,102409,39,170421,100319,16793,138519,86494,90886,37.68,-19.22,-7.99,-13.06,0.0,-15.59,-12.67,-18.07,-15.07,-10.91,-12.97
23104,"Fort Worth-Arlington-Grapevine, TX",332174,585823,36.18,9628,18372,66879,255,168628,100520,25961,95011,91215,72279,29.8,-14.62,-13.91,-14.47,-32.54,-18.87,-17.38,-15.1,-18.55,-12.84,-15.21
23224,"Frederick-Gaithersburg-Rockville, MD",145543,346351,29.59,3748,22992,40444,184,61491,37772,9957,56833,39093,51864,27.11,-3.3,-6.63,-4.71,0.0,-11.24,-6.87,-8.71,-9.81,-7.09,-4.51
23844,"Gary, IN",119891,159120,42.97,4274,2929,29212,82,65517,25043,9479,42706,37436,8011,35.9,-5.82,-9.35,-15.44,0.0,-17.49,-11.68,-21.11,-19.92,-13.07,-9.76
29404,"Lake County-Kenosha County, IL-WI",103986,217870,32.31,4556,6155,14808,0,67985,30744,8637,34551,31250,21575,28.71,-12.7,-11.77,-6.74,0.0,-12.51,-7.68,-13.21,-18.61,-8.0,-8.14
31084,"Los Angeles-Long Beach-Glendale, CA",1702407,1673249,50.43,70700,269366,212498,3418,747217,831841,72456,691673,530941,764509,46.29,-7.52,-7.81,-8.16,-6.79,-9.13,-6.97,-9.32,-8.27,-5.45,-5.77
33124,"Miami-Miami Beach-Kendall, FL",530574,438106,54.77,4738,9177,90911,341,351391,362253,15239,251358,161941,295186,48.61,-16.13,-11.76,-9.23,0.0,-11.62,-10.41,-13.64,-9.29,-5.63,-9.0
33874,"Montgomery County-Bucks County-Chester County, PA",222219,565254,28.22,3472,15760,27715,153,151233,22386,19141,88223,74592,25436,24.07,-7.09,-7.59,-10.95,0.0,-15.7,-8.47,-13.93,-18.0,-12.2,-8.45
35004,"Nassau County-Suffolk County, NY",300708,671529,30.93,6627,26848,46160,44,187827,73908,18788,151823,93281,72749,27.53,-8.15,-3.78,-3.68,0.0,-13.28,-6.81,-12.12,-12.02,-7.69,-5.53
35084,"Newark, NJ-PA",312468,536618,36.8,6184,13606,99404,0,127687,92632,16442,123832,97970,85050,32.57,-13.61,-12.83,-7.89,0.0,-13.29,-8.36,-11.38,-13.02,-9.04,-9.7
35154,"New Brunswick-Lakewood, NJ",296045,634583,31.81,6738,28948,33389,60,177505,59109,19823,123290,91029,67352,27.27,-11.66,-10.68,-12.82,0.0,-15.57,-8.92,-16.81,-17.72,-13.58,-8.38
35614,"New York-Jersey City-White Plains, NY-NJ",2239269,2355842,48.73,65061,312918,616592,2106,873006,816586,80138,956967,685358,878360,45.29,-5.52,-6.42,-5.59,-15.73,-9.24,-5.24,-6.43,-7.85,-4.75,-4.92
36084,"Oakland-Berkeley-Livermore, CA",357668,643180,35.74,16144,101008,65057,2201,148073,106678,22738,145524,119797,125967,32.89,-6.51,-5.97,-6.18,0.0,-8.69,-7.05,-7.26,-9.72,-5.84,-5.47
37964,"Philadelphia, PA",452567,426586,51.48,7761,38045,211915,811,148914,68254,26286,166487,166199,81744,46.26,-4.71,-7.08,-8.76,0.0,-13.21,-6.15,-12.57,-11.88,-7.38,-4.52
40484,"Rockingham County-Strafford County, NH",46535,132353,26.01,1790,1543,1263,0,38420,2441,5466,19927,14647,1884,22.31,-2.35,-17.0,-0.16,0.0,-14.72,-1.41,-21.8,-17.91,-12.68,-1.88
41884,"San Francisco-San Mateo-Redwood City, CA",201351,413626,32.74,8128,78878,16022,1294,83069,49166,10283,92620,68136,80271,29.99,-3.57,-7.4,-3.01,0.0,-10.65,-7.95,-7.64,-9.67,-5.5,-3.73
42034,"San Rafael, CA",29547,73831,28.58,1002,2365,1750,62,19711,6839,1026,11348,8468,5148,24.43,0.0,-16.75,-9.7,0.0,-13.46,-10.41,0.0,-22.49,-12.08,-13.0
42644,"Seattle-Bellevue-Kent, WA",383168,854091,30.97,21301,73678,52366,1917,236593,58539,30545,129126,119324,84739,27.8,-7.31,-8.84,-5.14,0.0,-11.06,-7.29,-9.48,-13.04,-7.04,-7.24
45104,"Tacoma-Lakewood, WA",130599,216779,37.6,11430,17410,22226,1596,93732,21154,26047,44677,47806,15070,34.13,-7.02,-5.02,-3.53,-13.07,-10.1,-7.33,-9.26,-10.54,-6.74,-5.09
47664,"Warren-Troy-Farmington Hills, MI",379629,685496,35.64,10415,17768,69542,181,257735,20106,27466,143283,131250,38230,30.65,-8.91,-11.86,-11.8,-19.2,-14.83,-12.99,-17.62,-15.78,-9.72,-8.89
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",444926,1131525,28.22,16350,53981,167179,1529,179005,90944,53028,161578,126377,112363,25.27,-7.81,-9.74,-7.6,-8.55,-12.69,-9.72,-11.28,-12.12,-8.13,-8.56
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",236272,359382,39.67,2609,7346,55207,0,126041,58990,14529,96502,64958,61606,32.84,-15.95,-10.31,-9.1,0.0,-21.14,-15.01,-22.44,-20.81,-15.59,-12.49
48864,"Wilmington, DE-MD-NJ",104351,181109,36.56,4191,4921,33417,0,55596,13893,6760,38102,35446,12566,32.07,-8.41,-0.99,-6.91,0.0,-15.27,-7.66,-11.67,-17.1,-9.76,-4.86
99999,[not in any metro division],41183595,55091989,42.78,1830795,1805669,7311313,120928,25859816,8166488,3858824,14520598,14130501,5346081,36.55,-10.47,-11.45,-10.13,-7.19,-15.81,-10.7,-17.36,-17.51,-10.92,-9.72
