cd118,Num Eligible,Num Ineligible,Percentage Eligible
0101,134249,149361,0.47
0102,141072,138555,0.5
0103,145330,130721,0.53
0104,132117,142307,0.48
0105,107159,184159,0.37
0106,107433,172436,0.38
0107,144463,138184,0.51
0200,106704,164595,0.39
0401,106604,248191,0.3
0402,158257,157258,0.5
0403,150778,116192,0.56
0404,124973,196911,0.39
0405,81751,213065,0.28
0406,134774,194671,0.41
0407,158383,145314,0.52
0408,120113,192078,0.38
0409,138933,179443,0.44
0501,163532,127322,0.56
0502,144774,163704,0.47
0503,129600,160522,0.45
0504,162847,131266,0.55
0601,145402,136268,0.52
0602,120186,181507,0.4
0603,100194,196460,0.34
0604,113525,168912,0.4
0605,123716,155932,0.44
0606,131351,149200,0.47
0607,121049,143409,0.46
0608,120398,138854,0.46
0609,120365,117210,0.51
0610,78483,195243,0.29
0611,107594,209705,0.34
0612,114911,172105,0.4
0613,133063,92641,0.59
0614,81379,166607,0.33
0615,82103,176606,0.32
0616,73589,187588,0.28
0617,77001,185069,0.29
0618,100815,122093,0.45
0619,96516,168127,0.36
0620,126492,118376,0.52
0621,149622,85829,0.64
0622,146740,83328,0.64
0623,136818,110705,0.55
0624,114401,157061,0.42
0625,145579,109214,0.57
0626,94083,155783,0.38
0627,108578,120069,0.47
0628,113872,149206,0.43
0629,144945,103066,0.58
0630,149327,161220,0.48
0631,113946,99359,0.53
0632,117697,168544,0.41
0633,126616,99497,0.56
0634,164587,110011,0.6
0635,114610,109194,0.51
0636,93314,221084,0.3
0637,159791,91648,0.64
0638,103812,121378,0.46
0639,104206,103930,0.5
0640,85707,180031,0.32
0641,117278,136995,0.46
0642,136120,108906,0.56
0643,143368,94669,0.6
0644,128159,103128,0.55
0645,110632,127874,0.46
0646,118467,97093,0.55
0647,98397,192387,0.34
0648,99461,153154,0.39
0649,82354,188465,0.3
0650,99021,201617,0.33
0651,100491,176398,0.36
0652,123590,112580,0.52
0801,123867,209233,0.37
0802,92091,198268,0.32
0803,140520,159017,0.47
0804,77140,201210,0.28
0805,100090,183157,0.35
0806,92400,180445,0.34
0807,94164,201015,0.32
0808,104577,155833,0.4
0901,118669,171167,0.41
0902,113395,179117,0.39
0903,119889,171489,0.41
0904,103235,166440,0.38
0905,113446,171481,0.4
1000,150742,244926,0.38
1201,118813,185260,0.39
1202,143850,169609,0.46
1203,141253,159290,0.47
1204,145607,155663,0.48
1205,100326,215293,0.32
1206,146242,183000,0.44
1207,122471,195239,0.39
1208,128898,196636,0.4
1209,126132,137399,0.48
1210,139472,148218,0.48
1211,115403,190073,0.38
1212,143628,179483,0.44
1213,125906,210010,0.37
1214,130867,197963,0.4
1215,125894,170392,0.42
1216,102167,199768,0.34
1217,129693,221368,0.37
1218,153567,142229,0.52
1219,123674,213421,0.37
1220,143641,159834,0.47
1221,122060,192774,0.39
1222,126905,174613,0.42
1223,122743,190290,0.39
1224,159811,126096,0.56
1225,116448,164998,0.41
1226,153253,128311,0.54
1227,142550,149576,0.49
1228,134643,122619,0.52
1301,138333,157339,0.47
1302,150412,138637,0.52
1303,116494,168556,0.41
1304,102154,173366,0.37
1305,125367,214195,0.37
1306,65060,216656,0.23
1307,103860,161218,0.39
1308,147374,134112,0.52
1309,117317,156478,0.43
1310,122672,163682,0.43
1311,93644,198000,0.32
1312,134455,134827,0.5
1313,129481,158311,0.45
1314,118814,160305,0.43
1501,100270,153318,0.4
1502,106757,129737,0.45
1601,145661,211166,0.41
1602,141475,195569,0.42
1701,140134,151182,0.48
1702,148082,143349,0.51
1703,114976,159416,0.42
1704,130517,133535,0.49
1705,99334,227148,0.3
1706,99881,185546,0.35
1707,142502,171864,0.45
1708,91821,181463,0.34
1709,108763,201705,0.35
1710,88024,182876,0.32
1711,85274,194063,0.31
1712,137365,166412,0.45
1713,127462,179345,0.42
1714,100881,169599,0.37
1715,129485,179496,0.42
1716,122702,183592,0.4
1717,133483,180352,0.43
1801,125577,166649,0.43
1802,117133,165549,0.41
1803,125017,172266,0.42
1804,107203,187452,0.36
1805,106831,191992,0.36
1806,122458,174684,0.41
1807,136870,170786,0.44
1808,133669,176736,0.43
1809,124388,175435,0.41
1901,125396,195697,0.39
1902,124933,204016,0.38
1903,116751,211567,0.36
1904,130407,191694,0.4
2001,120116,171333,0.41
2002,130789,159534,0.45
2003,82579,210139,0.28
2004,116038,168495,0.41
2101,151096,143101,0.51
2102,132613,160577,0.45
2103,145186,172416,0.46
2104,111674,176134,0.39
2105,187456,97920,0.66
2106,145742,161779,0.47
2201,142852,167839,0.46
2202,172096,132822,0.56
2203,144636,144228,0.5
2204,173615,124243,0.58
2205,166531,119483,0.58
2206,148596,146986,0.5
2301,95549,199417,0.32
2302,140596,158068,0.47
2401,115785,189552,0.38
2402,105259,196693,0.35
2403,76574,210798,0.27
2404,124022,148502,0.46
2405,80200,206624,0.28
2406,102125,192391,0.35
2407,167492,152830,0.52
2408,85741,201055,0.3
2501,151598,162628,0.48
2502,125110,173753,0.42
2503,122094,170798,0.42
2504,107016,193230,0.36
2505,106268,199168,0.35
2506,110983,193971,0.36
2507,146556,164614,0.47
2508,123618,183213,0.4
2509,123682,200676,0.38
2601,154768,184330,0.46
2602,134469,167354,0.45
2603,114810,183093,0.39
2604,123756,178624,0.41
2605,130873,174177,0.43
2606,99281,211850,0.32
2607,112064,198974,0.36
2608,158809,166058,0.49
2609,109265,197290,0.36
2610,133884,186124,0.42
2611,114684,215777,0.35
2612,162660,139827,0.54
2613,180480,118526,0.6
2701,105242,181365,0.37
2702,83544,189575,0.31
2703,78511,205241,0.28
2704,104335,176122,0.37
2705,122021,182696,0.4
2706,78832,186494,0.3
2707,115725,178155,0.39
2708,114686,178464,0.39
2801,141123,145843,0.49
2802,159793,119344,0.57
2803,136944,141080,0.49
2804,138846,146635,0.49
2901,151410,183913,0.45
2902,78239,229586,0.25
2903,96597,200581,0.33
2904,121498,177381,0.41
2905,126848,199758,0.39
2906,108162,186072,0.37
2907,138528,172579,0.45
2908,144297,153259,0.48
3001,92144,136657,0.4
3002,90670,129471,0.41
3101,86727,172639,0.33
3102,94044,168707,0.36
3103,100615,163250,0.38
3201,144992,145983,0.5
3202,123598,189637,0.39
3203,132523,180462,0.42
3204,130216,143966,0.47
3301,82015,195824,0.3
3302,87740,182446,0.32
3401,116152,179728,0.39
3402,126122,188333,0.4
3403,84281,208851,0.29
3404,102134,189130,0.35
3405,76773,209462,0.27
3406,97588,184819,0.35
3407,76202,220555,0.26
3408,145003,155561,0.48
3409,128807,144447,0.47
3410,142632,144489,0.5
3411,80259,211294,0.28
3412,92486,192844,0.32
3501,139617,157575,0.47
3502,155907,108102,0.59
3503,146706,126098,0.54
3601,72639,200635,0.27
3602,88112,161133,0.35
3603,84183,179483,0.32
3604,86524,163008,0.35
3605,143418,109529,0.57
3606,146058,130359,0.53
3607,143397,146462,0.49
3608,172833,111449,0.61
3609,169049,118039,0.59
3610,122028,179717,0.4
3611,126742,140042,0.48
3612,97658,260954,0.27
3613,194961,112494,0.63
3614,165879,105685,0.61
3615,210853,68415,0.76
3616,111676,176359,0.39
3617,85422,175954,0.33
3618,106619,182002,0.37
3619,142597,182706,0.44
3620,119405,208168,0.36
3621,141354,178434,0.44
3622,145982,173443,0.46
3623,136775,190569,0.42
3624,134831,183601,0.42
3625,137375,188583,0.42
3626,161900,176969,0.48
3701,155294,150319,0.51
3702,81976,213373,0.28
3703,142549,154874,0.48
3704,114944,187569,0.38
3705,150557,155917,0.49
3706,129901,167539,0.44
3707,138893,174901,0.44
3708,118875,158198,0.43
3709,137671,157058,0.47
3710,130957,169582,0.44
3711,135168,170528,0.44
3712,103898,178170,0.37
3713,106839,176681,0.38
3714,105969,211445,0.33
3800,109296,213207,0.34
3901,126431,203047,0.38
3902,143640,163252,0.47
3903,128388,200486,0.39
3904,115263,190505,0.38
3905,124085,195299,0.39
3906,150587,172100,0.47
3907,106800,218122,0.33
3908,114557,189362,0.38
3909,143838,188039,0.43
3910,139948,188537,0.43
3911,188457,163649,0.54
3912,125020,175921,0.42
3913,144924,188939,0.43
3914,128427,194869,0.4
3915,124569,195884,0.39
4001,143181,174719,0.45
4002,162766,143310,0.53
4003,149498,147760,0.5
4004,140412,165155,0.46
4005,129699,191456,0.4
4101,109437,184562,0.37
4102,143769,138478,0.51
4103,121885,161755,0.43
4104,143614,148611,0.49
4105,112953,169901,0.4
4106,113425,154194,0.42
4201,87348,206137,0.3
4202,177947,122039,0.59
4203,170499,159811,0.52
4204,89512,209829,0.3
4205,116587,178763,0.39
4206,97279,192553,0.34
4207,114657,181211,0.39
4208,138337,172542,0.44
4209,130827,175451,0.43
4210,111925,198356,0.36
4211,107707,186154,0.37
4212,138881,200359,0.41
4213,123030,178139,0.41
4214,137341,186711,0.42
4215,134417,161849,0.45
4216,131732,185313,0.42
4217,107695,218018,0.33
4401,96900,120085,0.45
4402,93141,130055,0.42
4501,107190,183745,0.37
4502,128673,165129,0.44
4503,131153,163941,0.44
4504,119677,172195,0.41
4505,128461,164420,0.44
4506,132731,157108,0.46
4507,142788,152635,0.48
4600,121432,235454,0.34
4701,159138,153198,0.51
4702,126675,190329,0.4
4703,132521,179659,0.42
4704,120197,168840,0.42
4705,97615,212441,0.31
4706,143384,175655,0.45
4707,122216,184202,0.4
4708,140383,159027,0.47
4709,158809,146111,0.52
4801,134016,147125,0.48
4802,97378,174422,0.36
4803,67806,210576,0.24
4804,97648,197830,0.33
4805,117398,148330,0.44
4806,108657,163826,0.4
4807,134971,181336,0.43
4808,103235,170996,0.38
4809,138293,141778,0.49
4810,114777,178349,0.39
4811,126050,166503,0.43
4812,104185,187460,0.36
4813,124051,168902,0.42
4814,119939,174797,0.41
4815,149889,101757,0.6
4816,149111,117814,0.56
4817,125651,162841,0.44
4818,139340,143259,0.49
4819,141612,153820,0.48
4820,145492,134784,0.52
4821,103973,206849,0.33
4822,94124,176299,0.35
4823,121178,142534,0.46
4824,83659,212347,0.28
4825,111166,171501,0.39
4826,73878,219273,0.25
4827,132825,152958,0.46
4828,139085,113516,0.55
4829,148097,104931,0.59
4830,134584,142229,0.49
4831,96528,199957,0.33
4832,120404,187263,0.39
4833,128803,151375,0.46
4834,156479,82921,0.65
4835,128872,172948,0.43
4836,122135,152138,0.45
4837,96582,258506,0.27
4838,104494,185779,0.36
4901,93681,188367,0.33
4902,100092,190698,0.34
4903,93318,179882,0.34
4904,74231,181224,0.29
5000,116455,153701,0.43
5101,89911,218103,0.29
5102,99421,210093,0.32
5103,142767,178921,0.44
5104,133607,180008,0.43
5105,127124,183326,0.41
5106,127386,183615,0.41
5107,81814,190882,0.3
5108,73517,244530,0.23
5109,154559,167650,0.48
5110,60049,203025,0.23
5111,52486,228663,0.19
5301,79640,217180,0.27
5302,115832,194198,0.37
5303,125331,174679,0.42
5304,139196,138517,0.5
5305,136938,167175,0.45
5306,123965,188020,0.4
5307,108500,244065,0.31
5308,87773,191684,0.31
5309,109589,184846,0.37
5310,112651,182485,0.38
5401,195312,165157,0.54
5402,165152,196568,0.46
5501,107860,192304,0.36
5502,102896,212735,0.33
5503,112853,187106,0.38
5504,156429,146577,0.52
5505,79817,223525,0.26
5506,105863,201665,0.34
5507,120295,194023,0.38
5508,106036,199995,0.35
5600,84623,158136,0.35
7298,934092,231895,0.8
