county,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,Percentage Eligible,rural
01001,11376,10907,195,6,6594,0,4983,373,1172,5154,5291,51.05,0
01003,31637,62468,593,285,6065,0,24870,2451,4595,15655,10571,33.62,0
01005,5091,4393,113,48,2289,4,2983,266,664,2361,1919,53.68,1
01007,4809,3698,128,8,2753,0,2127,98,442,2268,2487,56.53,1
01009,10532,11053,596,28,1117,46,9354,625,820,4457,5471,48.79,0
01011,2068,1840,40,21,886,1,1249,105,271,1012,907,52.92,1
01013,3846,3318,85,36,1729,3,2253,201,502,1783,1450,53.69,1
01015,25857,18774,1591,403,5936,0,19442,1292,3106,10422,10889,57.94,0
01017,6942,6177,134,71,2975,3,4195,352,910,3398,3044,52.92,1
01019,4982,4383,262,35,1171,0,4021,240,574,2382,2266,53.2,1
01021,6242,11025,238,161,1585,0,4644,526,803,2850,2513,36.15,1
01023,2866,1856,95,27,1501,0,1397,60,281,1433,1346,60.69,1
01025,5226,3384,173,50,2737,0,2548,110,513,2613,2454,60.7,1
01027,3200,2583,170,43,803,0,2429,72,368,1579,1606,55.33,1
01029,3386,2733,180,45,850,0,2570,76,389,1670,1699,55.34,1
01031,10286,10411,216,117,3109,11,7390,546,1518,4814,4338,49.7,0
01033,10735,11947,430,80,1329,0,9004,920,920,4729,4640,47.33,1
01035,2625,1700,87,25,1375,0,1280,55,258,1312,1233,60.69,1
01037,2075,1846,40,21,889,1,1254,105,272,1015,910,52.92,1
01039,7583,6542,168,71,3408,6,4443,397,990,3516,2858,53.68,1
01041,2662,2297,59,25,1197,2,1560,139,347,1234,1003,53.68,1
01043,15928,17932,615,107,779,0,15116,469,2100,7781,8174,47.04,1
01045,9491,9607,199,108,2869,10,6819,503,1400,4442,4003,49.7,0
01047,7439,7133,128,4,4312,0,3259,244,766,3370,3460,51.05,1
01049,14294,12356,977,131,496,0,13102,1281,1401,7347,7291,53.64,1
01051,13819,18986,167,16,5580,0,8602,690,1694,6390,5732,42.12,0
01053,8318,5387,275,80,4357,0,4056,175,817,4159,3906,60.69,1
01055,20634,18153,1084,146,4849,0,16650,993,2376,9866,9384,53.2,0
01057,3519,2706,93,6,2014,0,1556,71,323,1659,1820,56.53,1
01059,6025,6704,241,45,746,0,5053,516,516,2654,2604,47.33,1
01061,5418,5364,133,71,1842,11,3683,325,834,2307,2416,50.25,0
01063,1667,1282,44,3,954,0,737,34,153,786,862,56.53,1
01065,3188,2452,85,5,1825,0,1410,65,293,1503,1649,56.52,1
01067,3484,3449,86,46,1184,7,2369,209,536,1483,1554,50.25,0
01069,21793,21573,536,285,7409,45,14815,1308,3354,9277,9717,50.25,0
01071,10497,9073,718,96,364,0,9620,940,1028,5395,5353,53.64,1
01073,119914,150886,3082,2510,71735,497,48107,4646,12650,49329,47825,44.28,0
01075,3014,2318,80,5,1725,0,1333,61,277,1421,1559,56.53,1
01077,17549,19529,703,130,2172,0,14718,1504,1504,7730,7585,47.33,0
01079,5206,7640,461,14,1001,0,4041,560,647,2352,2242,40.53,0
01081,33157,34029,450,823,13207,10,20012,2393,3561,10434,8959,49.35,0
01083,12693,27623,1311,580,2400,0,10736,856,1367,6547,4050,31.48,0
01085,1994,1912,34,1,1156,0,874,65,205,903,927,51.05,1
01087,3901,3471,75,40,1672,2,2357,198,511,1909,1710,52.92,1
01089,55152,108504,2519,2823,17595,172,37370,4064,7770,21664,17987,33.7,0
01091,4168,3205,111,7,2386,0,1843,85,383,1965,2155,56.53,1
01093,5319,5989,205,36,260,0,5048,157,701,2599,2730,47.04,1
01095,16803,20398,845,183,916,0,15175,2543,2522,5937,6471,45.17,0
01097,86502,76460,2285,1931,43265,0,41814,2680,10857,32134,26480,53.08,0
01099,4473,2897,148,43,2343,0,2181,94,439,2237,2101,60.69,1
01101,48147,44270,867,1220,36225,0,11886,1485,7749,15624,14628,52.1,0
01103,19433,28517,1720,53,3736,0,15082,2092,2414,8778,8370,40.53,0
01105,1646,1578,28,1,954,0,721,54,170,746,766,51.05,1
01107,4125,3172,110,7,2361,0,1824,84,379,1945,2133,56.53,1
01109,6663,5748,148,62,2995,6,3904,349,870,3089,2511,53.69,1
01111,4939,3987,263,66,1239,0,3749,111,568,2437,2478,55.33,1
01113,12235,10424,252,202,6371,13,6188,795,1396,4509,3865,54.0,0
01115,16225,17030,919,42,1722,71,14412,963,1264,6867,8429,48.79,0
01117,27139,58926,1335,908,5631,0,21058,2792,3396,11532,9975,31.53,0
01119,2664,2049,71,4,1525,0,1178,54,245,1256,1378,56.52,1
01121,18467,14907,982,248,4634,0,14017,416,2124,9111,9267,55.33,0
01123,8248,7339,159,84,3535,4,4984,419,1081,4037,3616,52.92,1
01125,40510,46293,594,1227,19590,0,20899,1282,4959,15394,13552,46.67,0
01127,11845,12513,438,34,3394,24,8640,243,1470,5912,6138,48.63,1
01129,3483,2256,115,33,1824,0,1698,73,342,1742,1636,60.69,1
