state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,870021,1097525,44.22,NO,Republican,0.420261849352176,32.31269263,41801,17567.36556477031,567648.8838132693
02, AK,106704,164595,39.33,102544,168754,37.8,YES,Republican,0.197649572649572,66.94490927,4160,822.2222222222196,55043.59206644426
04, AZ,1174568,1643126,41.69,1125839,1691852,39.96,YES,Democrat + Independent,0.395275539602645,36.72991326,48729,19261.381769297288,707468.8816540346
05, AR,600752,582813,50.76,573496,610066,48.46,YES,Republican,0.327144978293871,33.2862096,27256,8916.663528377749,296801.93113825726
06, CA,6013704,7415330,44.78,5859326,7569718,43.63,YES,Democrat,0.427501420089848,33.00164891,154378,65996.81423063055,2178003.6924177613
08, CO,824852,1488185,35.66,791366,1521666,34.21,YES,Democrat,0.270830403514812,33.38255308,33486,9069.026892096996,302747.2716093754
09, CT,568632,859687,39.81,552149,876168,38.66,YES,Democrat,0.299947945244024,33.12441214,16483,4944.041981457248,163768.4842312521
10, DE,150742,244926,38.1,145826,249842,36.86,YES,Democrat,0.307684653248596,36.83371311,4916,1512.577755370098,55713.85509786995
12, FL,3685918,4879423,43.03,3524567,5040767,41.15,NO,Republican,0.416985402279703,33.25919813,161351,67281.01164323236,2237712.4966291017
13, GA,1665435,2335679,41.62,1594079,2407036,39.84,NO,Democrat,0.395790889467316,33.15203674,71356,28242.0547088298,936281.6353202156
15, HI,207027,283055,42.24,202653,287430,41.35,YES,Democrat,0.253479014814492,32.1864799,4374,1108.717210798588,35685.70422015282
16, ID,287136,406735,41.38,271021,422853,39.06,YES,Republican,0.163692466287752,34.74310399,16115,2637.9040942271236,91648.97626137972
17, IL,2000692,2990960,40.08,1927850,3063810,38.62,YES,Democrat,0.31331309366959,34.39314234,72842,22822.352369080272,784932.4135634139
18, IN,1099146,1581549,41.0,1043126,1637566,38.91,YES,Republican,0.353259712540463,32.91961402,56020,19789.60909651674,651466.293064012
19, IA,497487,802975,38.25,476698,823762,36.66,YES,Republican,0.2266109466177,34.44123704,20789,4711.014969235365,162253.18325442352
20, KS,449522,709501,38.78,423220,735804,36.52,NO,Republican,0.270756492451982,31.44574061,26302,7121.4372644720315,223938.86898897548
21, KY,873763,911924,48.93,843339,942349,47.23,YES,Republican,0.485875460508169,32.22560462,30424,14782.275010500533,476367.74987249647
22, LA,948326,835601,53.16,917367,866560,51.42,YES,Republican,0.535368639054502,33.8759307,30959,16574.477696488328,561475.8578349341
23, ME,236145,357485,39.78,223458,370170,37.64,YES,Republican + Independent,0.393156746913972,31.15714349,12687,4987.979648097563,155411.19762097546
24, MD,857197,1498443,36.39,832846,1522791,35.36,YES,Democrat,0.299273095916107,34.9034815,24351,7287.599158653122,254362.58241346478
25, MA,1116919,1642044,40.48,1092753,1666222,39.61,YES,Democrat,0.30350186539937,34.08828678,24166,7334.426079241176,250018.01955588418
26, MI,1729801,2321999,42.69,1658202,2393596,40.93,YES,Democrat,0.453852784222,34.57002623,71599,32495.405497510976,1123367.0204034408
27, MN,802896,1478112,35.2,768045,1512962,33.67,YES,Democrat,0.28654396086168,33.18209217,34851,9986.34357999041,331367.7731125295
28, MS,576706,552902,51.05,552323,577286,48.9,YES,Republican,0.387259712921315,34.00269539,24383,9442.553580160424,321072.2730899488
29, MO,965580,1503128,39.11,918654,1550056,37.21,NO,Republican,0.375754468816669,32.36481477,46926,17632.65420369101,570677.5872059214
30, MT,182814,266128,40.72,174147,274795,38.79,YES,Democrat + Republican,0.280618552189657,33.62124795,8667,2432.120991827757,81770.94291064092
31, NE,281387,504595,35.8,268042,517941,34.1,YES,Republican,0.31767992124725,30.75352915,13345,4239.438549044551,130377.6969976753
32, NV,531329,660048,44.6,507747,683629,42.62,YES,Democrat,0.456686911499278,33.42231442,23582,10769.590746975973,359944.64812015364
33, NH,169755,378270,30.98,161573,386456,29.48,YES,Democrat,0.210173485317074,32.22608682,8182,1719.6394568642995,55417.25043600656
34, NJ,1268437,2229507,36.26,1223154,2274794,34.97,YES,Democrat,0.226280848004276,35.11538334,45283,10246.675640177631,359815.9430654774
35, NM,442228,391774,53.02,429734,404268,51.53,YES,Democrat,0.384374123755167,39.7029752,12494,4802.370302197057,190668.38900934625
36, NY,3448259,4204186,45.06,3361691,4290754,43.93,YES,Democrat,0.453001645178044,33.39394907,86568,39215.44641977291,1309558.6204992104
37, NC,1753491,2426154,41.95,1673574,2506062,40.04,YES,Republican,0.490833428857062,31.58749598,79917,39225.935133969826,1239049.0683560127
38, ND,109296,213207,33.89,102697,219807,31.84,YES,Republican,0.144158981115502,34.91900364,6599,951.3051163811976,33218.62682166566
39, OH,2004934,2828008,41.48,1919322,2913617,39.71,YES,Democrat + Republican,0.543492703500464,31.83051081,85612,46529.49733208172,1481057.6678126934
40, OK,725560,822408,46.87,689218,858744,44.52,YES,Republican,0.449122057445283,55.47480866,36342,16321.993811676475,905459.4836524565
41, OR,745083,957500,43.76,720072,982508,42.29,YES,Democrat,0.277441573623341,32.7726764,25011,6939.091197893382,227412.59033864818
42, PA,2115720,3113235,40.46,2026340,3202606,38.75,YES,Democrat,0.333723271510407,34.17820462,89380,29828.186007600176,1019473.8448111798
44, RI,190041,250140,43.17,185244,254939,42.08,YES,Democrat,0.406975336900984,32.82142666,4797,1952.2606911140201,64075.98109459972
45, SC,890673,1159173,43.45,848119,1201731,41.37,NO,Republican,0.441472908688149,32.06944213,42554,18786.438156315493,602470.5912827835
46, SD,121432,235454,34.03,112750,244136,31.59,YES,Republican,0.18172310428882,41.67870231,8682,1577.7199914355351,65757.32185157742
47, TN,1200938,1569465,43.35,1139176,1631228,41.12,NO,Republican,0.345189343663036,32.23022643,61762,21319.58424331643,687135.0275555487
48, TX,4536368,6259834,42.02,4328848,6467345,40.1,NO,Republican,0.3591437026273,32.38563847,207520,74529.5011692173,2413685.480215714
49, UT,361325,740176,32.8,337105,764397,30.6,YES,Republican,0.182580779077008,35.78005958,24220,4422.106469245134,158223.23293869433
50, VT,116455,153701,43.11,112427,157730,41.62,YES,Democrat + Independent,0.206938302348546,33.22340012,4028,833.5474818599432,27693.281508851334
51, VA,1142640,2188816,34.3,1091977,2239482,32.78,YES,Democrat,0.371625358818175,34.04288065,50663,18827.655553805198,640947.6309375
53, WA,1139413,1882850,37.7,1102886,1919376,36.49,YES,Democrat,0.279066501786446,33.5620539,36527,10193.462110753513,342113.5247887172
54, WV,360464,361725,49.91,347948,374239,48.18,YES,Democrat + Republican,0.324190487815704,34.52164518,12516,4057.568145501351,140073.92781266826
55, WI,892049,1557930,36.41,850000,1599977,34.69,NO,Democrat + Republican,0.460510577333756,32.23422865,42049,19364.009266307105,624183.9022708619
56, WY,84623,158136,34.86,79729,163030,32.84,NO,Republican,0.244437091570849,31.65394221,4894,1196.275126147735,37866.82371034086
