POVPIP,National Saving
120,110952391.28
121,110065901.59
122,109132112.82
123,108142139.25
124,107075106.84
125,106004969.28
126,105060546.13
127,104122916.37
128,103050096.45
129,102006948.52
130,100934350.24
131,100022082.33
132,98775993.87
133,97218660.89
134,96266432.9
135,95232483.62
136,94239452.01
137,93132616.15
138,92101481.25
139,90915232.39
140,89562052.37
141,88427136.47
142,86864441.16
143,85293017.65
144,83256752.52
145,81908510.46
146,80372460.48
147,78613411.97
148,76600802.23
149,75538565.05
150,74416090.2
151,73227561.9
152,71879995.42
153,70810494.56
154,69375357.8
155,68017741.77
156,66868184.32
157,65429925.96
158,64323361.29
159,62964042.42
160,61534750.7
161,60152864.2
162,58800556.92
163,57396041.51
164,56091459.87
165,54870713.27
166,53515386.72
167,52058977.39
168,50428508.36
169,49213389.66
170,47635107.34
171,46246907.48
172,44615567.54
173,42866876.7
174,41644543.18
175,40259857.96
176,38595071.33
177,37077394.22
178,35146701.24
179,33498175.52
180,32104026.48
181,30226220.4
182,28760635.89
183,27171086.1
184,25147135.96
185,23024474.72
186,21721525.77
187,20111138.27
188,18626590.79
189,16896422.85
190,15317025.0
191,13635712.59
192,11833673.17
193,10233258.24
194,8880338.81
195,7385099.38
196,6090619.6
197,4723045.41
198,3229971.3
199,1691593.03
