zcta,metdiv20,MetDivName,ZIPName,pop20,afact
0000 ,14454,"Boston, MA",[not in a ZCTA],12,0.0014 
0000 ,31084,"Los Angeles-Long Beach-Glendale, CA",[not in a ZCTA],170,0.0198 
0000 ,35004,"Nassau County-Suffolk County, NY",[not in a ZCTA],13,0.0015 
0000 ,35614,"New York-Jersey City-White Plains, NY-NJ",[not in a ZCTA],193,0.0225 
0000 ,36084,"Oakland-Berkeley-Livermore, CA",[not in a ZCTA],3,0.0004 
0000 ,41884,"San Francisco-San Mateo-Redwood City, CA",[not in a ZCTA],62,0.0072 
0000 ,42644,"Seattle-Bellevue-Kent, WA",[not in a ZCTA],7,0.0008 
0000 ,45104,"Tacoma-Lakewood, WA",[not in a ZCTA],12,0.0014 
01431,15764,"Cambridge-Newton-Framingham, MA","Ashby, MA",3193,1 
01432,15764,"Cambridge-Newton-Framingham, MA","Ayer, MA",8221,1 
01434,15764,"Cambridge-Newton-Framingham, MA","Devens, MA",262,0.1586 
01450,15764,"Cambridge-Newton-Framingham, MA","Groton, MA",11298,1 
01460,15764,"Cambridge-Newton-Framingham, MA","Littleton, MA",10141,1 
01463,15764,"Cambridge-Newton-Framingham, MA","Pepperell, MA",11621,1 
01464,15764,"Cambridge-Newton-Framingham, MA","Shirley, MA",7427,1 
01469,15764,"Cambridge-Newton-Framingham, MA","Townsend, MA",7055,1 
01474,15764,"Cambridge-Newton-Framingham, MA","West Townsend, MA",2072,1 
01701,15764,"Cambridge-Newton-Framingham, MA","Framingham, MA",33005,1 
01702,15764,"Cambridge-Newton-Framingham, MA","Framingham, MA",39515,1 
01718,15764,"Cambridge-Newton-Framingham, MA","Village Of Nagog Woods, MA",688,1 
01719,15764,"Cambridge-Newton-Framingham, MA","Boxborough, MA",5506,1 
01720,15764,"Cambridge-Newton-Framingham, MA","Acton, MA",23232,1 
01721,15764,"Cambridge-Newton-Framingham, MA","Ashland, MA",18832,1 
01730,15764,"Cambridge-Newton-Framingham, MA","Bedford, MA",14566,1 
01731,15764,"Cambridge-Newton-Framingham, MA","Hanscom Afb, MA",1555,1 
01741,15764,"Cambridge-Newton-Framingham, MA","Carlisle, MA",5237,1 
01742,15764,"Cambridge-Newton-Framingham, MA","Concord, MA",18545,1 
01746,15764,"Cambridge-Newton-Framingham, MA","Holliston, MA",14996,1 
01748,15764,"Cambridge-Newton-Framingham, MA","Hopkinton, MA",18758,1 
01749,15764,"Cambridge-Newton-Framingham, MA","Hudson, MA",20092,1 
01752,15764,"Cambridge-Newton-Framingham, MA","Marlborough, MA",41793,1 
01754,15764,"Cambridge-Newton-Framingham, MA","Maynard, MA",10730,1 
01760,15764,"Cambridge-Newton-Framingham, MA","Natick, MA",36659,1 
01770,15764,"Cambridge-Newton-Framingham, MA","Sherborn, MA",4401,1 
01773,15764,"Cambridge-Newton-Framingham, MA","Lincoln, MA",5651,1 
01775,15764,"Cambridge-Newton-Framingham, MA","Stow, MA",7190,1 
01776,15764,"Cambridge-Newton-Framingham, MA","Sudbury, MA",18934,1 
01778,15764,"Cambridge-Newton-Framingham, MA","Cochituate, MA",14132,1 
01801,15764,"Cambridge-Newton-Framingham, MA","Woburn, MA",40891,1 
01803,15764,"Cambridge-Newton-Framingham, MA","Burlington, MA",26074,1 
01810,15764,"Cambridge-Newton-Framingham, MA","Andover, MA",35621,1 
01821,15764,"Cambridge-Newton-Framingham, MA","Billerica, MA",30909,1 
01824,15764,"Cambridge-Newton-Framingham, MA","Chelmsford, MA",26881,1 
01826,15764,"Cambridge-Newton-Framingham, MA","Dracut, MA",32689,1 
01827,15764,"Cambridge-Newton-Framingham, MA","Dunstable, MA",3358,1 
01830,15764,"Cambridge-Newton-Framingham, MA","Haverhill, MA",27553,1 
01832,15764,"Cambridge-Newton-Framingham, MA","Haverhill, MA",25656,1 
01833,15764,"Cambridge-Newton-Framingham, MA","Georgetown, MA",8410,1 
01834,15764,"Cambridge-Newton-Framingham, MA","Groveland, MA",6752,1 
01835,15764,"Cambridge-Newton-Framingham, MA","Haverhill, MA",14578,1 
01840,15764,"Cambridge-Newton-Framingham, MA","Lawrence, MA",7121,1 
01841,15764,"Cambridge-Newton-Framingham, MA","Lawrence, MA",53654,1 
01843,15764,"Cambridge-Newton-Framingham, MA","Lawrence, MA",28346,1 
01844,15764,"Cambridge-Newton-Framingham, MA","Methuen Town, MA",52970,1 
01845,15764,"Cambridge-Newton-Framingham, MA","North Andover, MA",31855,1 
01850,15764,"Cambridge-Newton-Framingham, MA","Lowell, MA",16670,1 
01851,15764,"Cambridge-Newton-Framingham, MA","Lowell, MA",32691,1 
01852,15764,"Cambridge-Newton-Framingham, MA","Lowell, MA",36708,1 
01854,15764,"Cambridge-Newton-Framingham, MA","Lowell, MA",29561,1 
01860,15764,"Cambridge-Newton-Framingham, MA","Merrimac, MA",6723,1 
01862,15764,"Cambridge-Newton-Framingham, MA","North Billerica, MA",11430,1 
01863,15764,"Cambridge-Newton-Framingham, MA","North Chelmsford, MA",9536,1 
01864,15764,"Cambridge-Newton-Framingham, MA","North Reading, MA",15554,1 
01867,15764,"Cambridge-Newton-Framingham, MA","Reading, MA",25522,1 
01876,15764,"Cambridge-Newton-Framingham, MA","Tewksbury, MA",31105,1 
01879,15764,"Cambridge-Newton-Framingham, MA","Tyngsboro, MA",12368,1 
01880,15764,"Cambridge-Newton-Framingham, MA","Wakefield, MA",27071,1 
01886,15764,"Cambridge-Newton-Framingham, MA","Westford, MA",24618,1 
01887,15764,"Cambridge-Newton-Framingham, MA","Wilmington, MA",23349,1 
01890,15764,"Cambridge-Newton-Framingham, MA","Winchester, MA",22970,1 
01901,15764,"Cambridge-Newton-Framingham, MA","Lynn, MA",2794,1 
01902,15764,"Cambridge-Newton-Framingham, MA","Lynn, MA",50725,1 
01904,15764,"Cambridge-Newton-Framingham, MA","Lynn, MA",19944,1 
01905,15764,"Cambridge-Newton-Framingham, MA","Lynn, MA",27761,1 
01906,15764,"Cambridge-Newton-Framingham, MA","Saugus, MA",28619,1 
01907,15764,"Cambridge-Newton-Framingham, MA","Swampscott, MA",15148,1 
01908,15764,"Cambridge-Newton-Framingham, MA","Nahant, MA",3334,1 
01913,15764,"Cambridge-Newton-Framingham, MA","Amesbury Town, MA",17366,1 
01915,15764,"Cambridge-Newton-Framingham, MA","Beverly, MA",42341,1 
01921,15764,"Cambridge-Newton-Framingham, MA","Boxford, MA",8263,1 
01922,15764,"Cambridge-Newton-Framingham, MA","Byfield, MA",3134,1 
01923,15764,"Cambridge-Newton-Framingham, MA","Danvers, MA",27987,1 
01929,15764,"Cambridge-Newton-Framingham, MA","Essex, MA",3618,1 
